[2016-05-04 00:22:34.788887]; ReceiveUART ; 
[2016-05-04 00:22:34.791890]; PopCmd ; QueueEmpty
[2016-05-04 00:22:35.801890]; ReceiveUART ; 
[2016-05-04 00:22:35.804892]; PopCmd ; QueueEmpty
[2016-05-04 00:22:36.814203]; ReceiveUART ; 
[2016-05-04 00:22:36.818207]; PopCmd ; QueueEmpty
[2016-05-04 00:22:37.827230]; ReceiveUART ; 
[2016-05-04 00:22:37.830221]; PopCmd ; QueueEmpty
[2016-05-04 00:22:38.842186]; ReceiveUART ; 
[2016-05-04 00:22:38.845190]; PopCmd ; QueueEmpty
[2016-05-04 00:22:39.857867]; ReceiveUART ; 
[2016-05-04 00:22:39.861870]; PopCmd ; QueueEmpty
[2016-05-04 00:22:40.876397]; ReceiveUART ; 
[2016-05-04 00:22:40.880415]; PopCmd ; QueueEmpty
[2016-05-04 00:22:41.888027]; ReceiveUART ; 
[2016-05-04 00:22:41.891030]; PopCmd ; QueueEmpty
[2016-05-04 00:22:42.900476]; ReceiveUART ; 
[2016-05-04 00:22:42.904471]; PopCmd ; QueueEmpty
[2016-05-04 00:22:43.917236]; ReceiveUART ; 
[2016-05-04 00:22:43.921238]; PopCmd ; QueueEmpty
[2016-05-04 00:22:44.930617]; ReceiveUART ; 
[2016-05-04 00:22:44.935612]; PopCmd ; QueueEmpty
[2016-05-04 00:22:45.948387]; ReceiveUART ; 
[2016-05-04 00:22:45.953389]; PopCmd ; QueueEmpty
[2016-05-04 00:22:46.961039]; ReceiveUART ; 
[2016-05-04 00:22:46.965042]; PopCmd ; QueueEmpty
[2016-05-04 00:22:47.976021]; ReceiveUART ; 
[2016-05-04 00:22:47.980038]; PopCmd ; QueueEmpty
[2016-05-04 00:22:48.992050]; ReceiveUART ; 
[2016-05-04 00:22:48.995051]; PopCmd ; QueueEmpty
[2016-05-04 00:22:50.005668]; ReceiveUART ; 
[2016-05-04 00:22:50.009671]; PopCmd ; QueueEmpty
[2016-05-04 00:22:51.017385]; ReceiveUART ; 
[2016-05-04 00:22:51.020387]; PopCmd ; QueueEmpty
[2016-05-04 00:22:52.029674]; ReceiveUART ; 
[2016-05-04 00:22:52.032677]; PopCmd ; QueueEmpty
[2016-05-04 00:22:53.052190]; ReceiveUART ; 
[2016-05-04 00:22:53.064219]; PopCmd ; QueueEmpty
[2016-05-04 00:22:54.134425]; ReceiveUART ; 
[2016-05-04 00:22:54.148435]; PopCmd ; QueueEmpty
